的,dehhr,5/|.的..
一,yig,1-.一..
是,shihm,4|~.是嗜噬..眎
不,buhd,4-/.不布..
了,lehhb,5~|.了..
在,zaihd,4-/.在..
人,rrenw,2/\.人..
有,yooud,3-/.有友..
我,woot,3/-.我..
他,tar,1/|.他..
这,zhehy,4\-.这.鹧.這
个,gehw,4/\.个..
们,mehhnr,5/|.们..
中,zhongm,1|~.中忠盅..蹱
来,llais,2-\.来..
上,shahngh,4|-.上..
大,dahd,4-/.大..
为,weihi,4\/.为..
和,hhet,2/-.和禾..盉
国,gguom,2|~.国.帼.
地,dihf,4-|.地蒂.棣.菂
到,daoha,4-~.到..
以,yiic,3~\.以矣..
说,shuop,1\~.说..
时,sshim,2|~.时..遈
要,yaohf,4-|.要药..藥靿葯
就,jiuhy,4\-.就疚.鹫.鷲
出,chub,1~|.出..
会,huihw,4/\.会..銊鐬鏸
可,keef,3-|.可坷..
也,yeeb,3~|.也..
你,niir,3/|.你..
对,duihc,4~\.对.怼.
生,shengt,1/-.生升牲甥.笙.
能,nnengc,2~\.能..
而,vverd,2-/.而.鸸.
子,ziib,3~|.子..
那,nahn,4~-.那..
得,dehhe,5//.得..
于,yyug,2--.于盂.瑜.邘
着,zhehhi,5\/.着..
下,xiahf,4-|.下..
自,zihr,4/|.自..
之,zhip,1\~.之.祗.衼禔禵
年,nniant,2/-.年.黏.
过,guohf,4-|.过..
发,fav,1~/.发..
后,houhe,4//.后.後逅.郈
作,zuohr,4/|.作做..
里,liim,3|~.里..
用,yohngq,4/~.用..
道,daohi,4\/.道..
行,xxinge,2//.行..
所,suooe,3//.所..
然,rranq,2/~.然..肰
家,jiao,1\\.家.浃.
种,zhoongt,3/-.种..種
事,shihf,4-|.事世士势誓逝拭柿.螫贳.
成,cchengd,2-/.成盛..郕碀
方,fangy,1\-.方.邡.
多,duoq,1/~.多..
经,jingx,1~~.经..經
么,mehhq,5/~.么..
去,quhf,4-|.去趣..
法,faao,3\\.法..
学,xxueo,2\\.学穴.泶.鸴
如,rruv,2~/.如..鴽
都,douf,1-|.都.蔸.
同,ttongm,2|~.同瞳..蚒眮
现,xiahng,4--.现..
当,dangl,1|\.当..
没,mmeio,2\\.没.湄.
动,dohngg,4--.动..
面,miahnd,4-/.面..靣
起,qiif,3-|.起.杞芑.
看,kahnt,4/-.看..
定,dihngo,4\\.定..
天,tiang,1--.天..
分,fenw,1/\.分..鈖
还,hhaid,2-/.还..
进,jihng,4--.进..
好,haaov,3~/.好..
小,xiaaok,3|/.小..
部,buhy,4\-.部.瓿.
其,qqif,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
些,xieh,1|-.些..
主,zhuuy,3\-.主.麈.詝
样,yahngf,4-|.样..
理,liig,3--.理..
心,xinp,1\~.心..
她,tav,1~/.她..
本,beenf,3-|.本苯..翉
前,qqiani,2\/.前..
开,kaig,1--.开..
但,dahnr,4/|.但..蜑
因,yinm,1|~.因.喑.闉
只,zhiim,3|~.只趾..
从,ccongw,2/\.从丛..
想,xiaangf,3-|.想..
实,sshio,2\\.实..
日,rihm,4|~.日..
军,junp,1\~.军.皲.軍袀
者,zheef,3-|.者.赭.
意,yihy,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
无,wwug,2--.无..
力,lihv,4~/.力..
它,tao,1\\.它.溻.
与,yuua,3-~.与..
长,cchangt,2/-.长..
把,baaf,3-|.把靶..
机,jif,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
十,sshif,2-|.十拾.莳埘.辻
民,mminn,2~-.民..
第,diht,4/-.第..
公,gongw,1/\.公..
此,ciih,3|-.此..
已,yiin,3~-.已乙..
工,gongf,1-|.工功攻恭..
使,shiir,3/|.使..
情,qqingo,2\\.情..
明,mmingm,2|~.明鸣螟.瞑暝.鳴眳眀
性,xihngo,4\\.性兴.悻.
知,zhit,1/-.知..鼅
全,qquanw,2/\.全..銓
三,sang,1--.三..
又,youhc,4~\.又..
关,guani,1\/.关..
点,diaanh,3|-.点..
正,zhehngf,4-|.正政挣..
业,yehj,4||.业.邺.
外,waihq,4/~.外..
将,jiangy,1\-.将浆..螀
两,liaangf,3-|.两..
高,gaoy,1\-.高膏..
间,jianu,1\|.间..
由,yyoum,2|~.由邮.蝣蚰.蚘
问,wehnu,4\|.问..
很,heene,3//.很..
最,zuihm,4|~.最罪..
重,zhohngt,4/-.重..
并,bihngi,4\/.并..
物,wuht,4/-.物..
手,shoout,3/-.手..
应,yingy,1\-.应鹰.膺.韺鷹
战,zhahnh,4|-.战..
向,xiahngr,4/|.向像..
头,ttouo,2\\.头..
文,wweny,2\-.文..螡
体,tiir,3/|.体..
政,zhehngf,4-|.正政挣..
美,meeii,3\/.美..羙
相,xiangf,1-|.相.芗葙.蘘
见,jiahnm,4|~.见践贱.踺.見踐瞷
被,beihp,4\~.被.褙.
利,liht,4/-.利.笠篥.
什,sshenr,2/|.什..
二,ehrg,4--.二贰..貮
等,deengt,3/-.等..
产,chaany,3\-.产..諂
或,huohf,4-|.或获惑.藿.
新,xiny,1\-.新辛.歆.
己,jiin,3~-.己..
制,zhiht,4/-.制智秩稚.雉.製铚秲锧稙鴙
身,shenr,1/|.身伸..
果,guoom,3|~.果.蜾.
加,jiav,1~/.加.迦袈.
西,xif,1-|.西析昔熙.熹皙醯樨菥.
斯,sif,1-|.斯撕..
月,yuehq,4/~.月.刖.
话,huahp,4\~.话..
合,hhew,2/\.合盒.颌.龢頜
回,hhuim,2|~.回蛔..迴
特,teht,4/-.特.铽.
代,daihr,4/|.代袋贷.黛岱.貸
内,neihm,4|~.内..
信,xihnr,4/|.信衅.囟.舋
表,biaaog,3--.表..
化,huahr,4/|.化..
老,laaof,3-|.老.栳.荖
给,geeix,3~~.给..給
世,shihf,4-|.事世士势誓逝拭柿.螫贳.
位,weihr,4/|.位..
次,cihy,4\-.次..
度,duhy,4\-.度..詫
门,mmenu,2\|.门..
任,rehnr,4/|.任.仞.
常,cchangl,2|\.常尝..
先,xiant,1/-.先锨.氙.
海,haaio,3\\.海..
通,tongc,1~\.通..
教,jiaof,1-|.教蕉椒.艽茭.萩轇驕
儿,vverq,2/~.儿.鲕.胹
原,yyuand,2-/.原..
东,donga,1-~.东.鸫.
声,shengf,1-|.声..聲苼
提,ttif,2-|.提.醍荑.趧騠蕛
立,lihy,4\-.立痢.疠疬.麜讈
及,jjiq,2/~.及急..脨
比,biia,3-~.比..粊
员,yyuanm,2|~.员园圆.螈.
解,jieeq,3/~.解..
水,shuiim,3|~.水..
名,mmingq,2/~.名..
真,zhenf,1-|.真斟甄.桢榛蓁.
论,luhnp,4\~.论..
处,chuhq,4/~.处触..觸臅
走,zoouf,3-|.走..
义,yihi,4\/.义益.熠.義鷁
各,gehq,4/~.各..
入,ruhw,4/\.入..鳰込
几,jiq,1/~.几肌饥..觭
口,kooum,3|~.口..
认,rehnp,4\~.认.衽.袵讱
条,ttiaoq,2/~.条.鲦.鰷
平,ppings,2-\.平..
系,xihq,4/~.系.饩.
气,qiht,4/-.气迄.憩.
题,ttim,2|~.题蹄啼..題鶗
活,hhuoo,2\\.活..
尔,eerq,3/~.尔饵.迩.
更,gehngf,4-|.更..
别,bbiem,2|~.别..
打,daaf,3-|.打..
女,nyuuv,3~/.女..
变,biahny,4\-.变辩辨辫卞..變辯
四,sihm,4|~.四嗣.兕.
神,sshenp,2\~.神..
总,zoongi,3\/.总..
何,hher,2/|.何..
电,diahnm,4|~.电..蜔
数,shuhi,4\/.数..
安,ano,1\\.安..鴳
少,shaaok,3|/.少..
报,baohf,4-|.报抱..菢
才,ccaif,2-|.才材裁..
结,jjiex,2~~.结..結
反,faane,3//.反返..
受,shouhw,4/\.受..鏉
目,muhm,4|~.目睦..
太,taihd,4-/.太态..
量,liahngm,4|~.量晾..
再,zaihf,4-|.再载..酨
感,gaand,3-/.感..
建,jiahnn,4~-.建..
务,wuhq,4/~.务勿..
做,zuohr,4/|.作做..
接,jief,1-|.接揭..菨
必,bihp,4\~.必.裨.祕禆邲诐袐鴓
场,chaangf,3-|.场..
件,jiahnr,4/|.件健.僭.
计,jihp,4\~.计记..
管,guaant,3/-.管..筦
期,qif,1-|.期欺栖.萋桤.
市,shihy,4\-.市..適試諡
直,zzhif,2-|.直职执植.摭絷埴.職
德,ddee,2//.德..
资,ziy,1\-.资姿咨.粢.資秶諮
命,mihngw,4/\.命..
山,shanm,1|~.山.跚.
金,jinw,1/\.金今..
指,zhiif,3-|.指址.酯芷枳.茝藢
克,kehf,4-|.克..礊騍
许,xuup,3\~.许.诩.
统,toongx,3~~.统..統綂
区,qud,1-/.区..
保,baaor,3/|.保堡..賲
至,zhiha,4-~.至致.郅轾.
队,duihb,4~|.队..隊陮
形,xxingg,2--.形型刑邢..
社,shehp,4\~.社设..
便,biahnr,4/|.便..
空,kongo,1\\.空..鵼
决,jjuey,2\-.决..訣
治,zhiho,4\\.治滞窒.忮.
展,zhaann,3~-.展..
马,maax,3~~.马..
科,ket,1/-.科.稞钶.簻
司,sin,1~-.司..
五,wuuf,3-|.五捂..
基,jif,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
眼,yaanm,3|~.眼.罨.蝘
书,shux,1~~.书.纾.紓綀
非,feih,1|-.非.蜚.
则,zzem,2|~.则.啧帻.蠌
听,tingm,1|~.听..
白,bbair,2/|.白..
却,quehf,4-|.却鹊榷.悫.鵲
界,jiehm,4|~.界.蚧骱.蛶
达,ddad,2-/.达..迏
光,guangl,1|\.光..
放,fahngy,4\-.放..
强,qqiangn,2~-.强..
即,jjin,2~-.即..
像,xiahngr,4/|.向像..
难,nnanc,2~\.难..
且,qieem,3|~.且..
权,qquanf,2-|.权颧醛.荃鬈.葲顴
思,sim,1|~.思嘶.咝蛳.
王,wwangg,2--.王..
象,xiahngq,4/~.象..鱌
完,wwano,2\\.完..
设,shehp,4\~.社设..
式,shihg,4--.式示..
色,sehq,4/~.色..
路,luhm,4|~.路赂.鹭.睩賂鷺
记,jihp,4\~.计记..
南,nnanf,2-|.南.楠.難
品,piinm,3|~.品..
住,zhuhr,4/|.住.伫.
告,gaoht,4/-.告.锆郜.
类,leihi,4\/.类..類
求,qqiuf,2-|.求.裘逑.
据,juhf,4-|.据聚拒.苣醵.
程,cchengt,2/-.程乘.铖.
北,beeih,3|-.北..
边,bianv,1~/.边..
死,siid,3-/.死..
张,zhangn,1~-.张..
该,gaip,1\~.该..
交,jiaoy,1\-.交郊..
规,guig,1--.规瑰..規鬶
万,wahna,4-~.万..
取,quuf,3-|.取娶..
拉,laf,1-|.拉垃..
格,ggef,2-|.格革葛.鬲塥.騔轕
望,wahngy,4\-.望忘妄..
觉,jjueo,2\\.觉..
术,shuhf,4-|.术述树束..豎蒁鶐
领,liingw,3/\.领..領
共,gohngf,4-|.共贡..貢
确,quehd,4-/.确..確
传,cchuanr,2/|.传..
师,shik,1|/.师..
观,guanc,1~\.观..
清,qingo,1\\.清..
今,jinw,1/\.金今..
切,qiea,1-~.切..
院,yuahnb,4~|.院..
让,rahngp,4\~.让..
识,sship,2\~.识..祏
候,houhr,4/|.候..
带,daihf,4-|.带戴.埭.
导,daaon,3~-.导..
争,zhengq,1/~.争狰..
运,yuhng,4--.运.韫.
笑,xiaoht,4/-.笑..
飞,feiv,1~/.飞.妃.飛
风,fengq,1/~.风..風
步,buhh,4|-.步..
改,gaain,3~-.改..
收,shoub,1~|.收..
根,genf,1-|.根..
干,gang,1--.干..
造,zaoht,4/-.造..
言,yyany,2\-.言颜..顏麣訮
联,llianf,2-|.联莲..連蓮聯鬑聫
持,cchif,2-|.持.墀坻茌.馳
组,zuux,3~~.组..組
每,meeit,3/-.每镁..
济,jiho,4\\.济寄寂悸.洎.
车,chea,1-~.车..
亲,qiny,1\-.亲..親
极,jjif,2-|.极吉藉棘.楫蒺蕺.鞊趌
林,llinf,2-|.林..臨驎
服,ffuq,2/~.服.匐凫.鮄
快,kuaiho,4\\.快..
办,bahnv,4~/.办..
议,yihp,4\~.议译谊诣..袣褹
往,waange,3//.往..
元,yyuang,2--.元.鼋.黿
英,yingf,1-|.英樱.莺撄.
士,shihf,4-|.事世士势誓逝拭柿.螫贳.
证,zhehngp,4\~.证.诤.
近,jihne,4//.近..
失,shit,1/-.失..
转,zhuaana,3-~.转..
夫,fug,1--.夫.麸.
令,lihngw,4/\.令..
准,zhuuny,3\-.准..
布,buhd,4-/.不布..
始,shiiv,3~/.始..
怎,zeent,3/-.怎..
呢,nehhm,5|~.呢..
存,ccund,2-/.存..
未,weihg,4--.未..
远,yuaang,3--.远..
叫,jiaohm,4|~.叫.峤噍.覐
台,ttaic,2~\.台.邰炱.
单,dani,1\/.单郸..
影,yiingm,3|~.影.郢.
具,juhm,4|~.具距踞.瞿.
罗,lluom,2|~.罗逻螺..羅邏
字,ziho,4\\.字渍..
爱,aihw,4/\.爱..鑀
击,jig,1--.击.玑.
流,lliuo,2\\.流.浏鎏.
备,beihq,4/~.备惫狈..
兵,bingr,1/|.兵..
连,lliana,2-~.连..
调,diaohp,4\~.调..
深,sheno,1\\.深..
商,shangy,1\-.商..謪
算,suahnt,4/-.算..笇筭
质,zhihe,4//.质..質
团,ttuanm,2|~.团..
集,jjir,2/|.集.佶.
百,baaid,3-/.百..
需,xus,1-\.需..
价,jiahr,4/|.价..
花,huaf,1-|.花..
党,daangl,3|\.党..黨
华,hhuar,2/|.华..
城,cchengf,2-|.城橙.枨酲埕.
石,sshid,2-/.石..
级,jjix,2~~.级..級
整,zheengf,3-|.整拯..
府,fuuy,3\-.府腐..
离,lliy,2\-.离..離謧
况,kuahngy,4\-.况.邝.鄺
亚,yahf,4-|.亚.揠.輵襾
请,qiingp,3\~.请..
技,jihf,4-|.技蓟.髻芰荠.繫蟿繋驥
际,jihb,4~|.际..際
约,yuex,1~~.约..約
示,shihg,4--.式示..
复,fuht,4/-.复.馥.
病,bihngy,4\-.病..竝
息,xir,1/|.息.僖鼷.
究,jiuo,1\\.究..
线,xiahnx,4~~.线..線
似,sihr,4/|.似.俟.
官,guano,1\\.官..窤
火,huooi,3\/.火..
断,duahni,4\/.断.煅.
精,jingi,1\/.精粳..
满,maano,3\\.满..
支,zhif,1-|.支枝芝.栀.鳷
视,shihp,4\~.视试.谥.視襫
消,xiaoo,1\\.消宵.潇.
越,yuehf,4-|.越.樾.趯軏
器,qihm,4|~.器..
容,rrongo,2\\.容溶..
照,zhaohm,4|~.照罩..
须,xue,1//.须..須
九,jiuuq,3/~.九久灸..
增,zengf,1-|.增..
研,yyand,2-/.研..硏
写,xieep,3\~.写..
称,chengt,1/-.称.铛.稱
企,qiiw,3/\.企..
八,baw,1/\.八..釟
功,gongf,1-|.工功攻恭..
吗,mahhm,5|~.吗嘛.蟆.
包,baoq,1/~.包胞..
片,piahnr,4/|.片..
史,shiim,3|~.史..
委,weeit,3/-.委..
乎,huw,1/\.乎..
查,cchaf,2-|.查茶茬搽.楂槎檫.
轻,qinga,1-~.轻..
易,yihm,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
早,zaaom,3|~.早..
曾,ccengi,2\/.曾..
除,cchub,2~|.除..
农,nnongp,2\~.农..襛
找,zhaaof,3-|.找..
装,zhuangy,1\-.装庄妆..
广,guaangy,3\-.广..
显,xiaanm,3|~.显.蚬跣.顯蜆顕
吧,bahhm,5|~.吧..
阿,ab,1~|.阿..
李,liif,3-|.李.醴逦.
标,biaof,1-|.标.杓髟.藨
谈,ttanp,2\~.谈谭..
吃,chim,1|~.吃.嗤哧螭眵.
图,ttum,2|~.图..
念,niahnw,4/\.念..
六,liuhy,4\-.六..
引,yiinn,3~-.引尹..
历,lihd,4-/.历厉励砾.砺.磿
首,shooui,3\/.首..
医,yid,1-/.医.欹.醫鷖
局,jjun,2~-.局..
突,tuo,1\\.突..
专,zhuang,1--.专..
费,feihn,4~-.费..費
号,haohm,4|~.号.昊颢.號
尽,jihnn,4~-.尽..盡賮
另,lihngm,4|~.另..
周,zhouq,1/~.周..週
较,jiaoha,4-~.较轿..
注,zhuho,4\\.注..
语,yuup,3\~.语..祤
仅,jiinr,3/|.仅..
考,kaaof,3-|.考拷.栲.
落,luohf,4-|.落.摞荦.茖
青,qingg,1--.青..鶄
随,ssuib,2~|.随隋..隨
选,xuaant,3/-.选..
列,liehd,4-/.列烈裂..
武,wuug,3--.武.鹉.
红,hhongx,2~~.红..紅纮紭紘
响,xiaangm,3|~.响..
虽,suim,1|~.虽.睢眭.雖
推,tuif,1-|.推..藬蓷
势,shihf,4-|.事世士势誓逝拭柿.螫贳.
参,canc,1~\.参..
希,xiw,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
古,guuf,3-|.古鼓贾.嘏瞽.盬糓
众,zhohngw,4/\.众..
构,gouhf,4-|.构垢.彀.
房,ffangp,2\~.房..
半,bahni,4\/.半..
节,jjief,2-|.节杰截捷劫桔.颉拮.蓵
土,tuuf,3-|.土..
投,ttouf,2-|.投..頭
某,moouf,3-|.某..
案,ahno,4\\.案..
黑,heim,1|~.黑嘿..黒
维,wweix,2~~.维..維
革,ggef,2-|.格革葛.鬲塥.騔轕
划,hhuaa,2-~.划..
敌,ddit,2/-.敌笛..篴
致,zhiha,4-~.至致.郅轾.
陈,cchenb,2~|.陈..陳
律,lyuhe,4//.律..
足,zzum,2|~.足..
态,taihd,4-/.太态..
护,huhf,4-|.护..
七,qia,1-~.七妻..郪鶈
兴,xihngo,4\\.性兴.悻.
派,paiho,4\\.派湃..
孩,hhaib,2~|.孩..
验,yahnx,4~~.验..
责,zzeg,2--.责..責
营,yyingf,2-|.营莹荧萤.萦楹茔蓥.藀
星,xingm,1|~.星..
够,gouhq,4/~.够..雊
