的,dyiex,5/|.的..
一,yeei,1-.一..
是,sirhis,4|~.是嗜噬..眎
不,bowus,4-/.不布..
了,lriex,5~|.了..
在,zowais,4-/.在..
人,ryhenz,2/\.人..
有,yowouv,3-/.有友..
我,wwoov,3/-.我..
他,twua,1/|.他..
这,zhehes,4\-.这.鹧.這
个,gyhes,4/\.个..
们,myienx,5/|.们..
中,zuvhong,1|~.中忠盅..蹱
来,lohaiz,2-\.来..
上,suohangs,4|-.上..
大,dowas,4-/.大..
为,whyeis,4\/.为..
和,hyeez,2/-.和禾..盉
国,guvuoz,2|~.国.帼.
地,deiis,4-|.地蒂.棣.菂
到,dovaos,4-~.到..
以,yrhiv,3~\.以矣..
说,shvhuo,1\~.说..
时,sirhiz,2|~.时..遈
要,youaos,4-|.要药..藥靿葯
就,jheius,4\-.就疚.鹫.鷲
出,cvuhu,1~|.出..
会,hwhuis,4/\.会..銊鐬鏸
可,keiev,3-|.可坷..
也,yriev,3~|.也..
你,nyiiv,3/|.你..
对,dvhuis,4~\.对.怼.
生,syeheng,1/-.生升牲甥.笙.
能,nrhengz,2~\.能..
而,eeyrz,2-/.而.鸸.
子,zriiv,3~|.子..
那,nvoas,4~-.那..
得,dyyex,5//.得..
于,yoouz,2--.于盂.瑜.邘
着,zhyhex,5\/.着..
下,xeiias,4-|.下..
自,zyiis,4/|.自..
之,zhrhi,1\~.之.祗.衼禔禵
年,nyeianz,2/-.年.黏.
过,gouuos,4-|.过..
发,fvwa,1~/.发..
后,hwwous,4//.后.後逅.郈
作,zwuuos,4/|.作做..
里,liriv,3|~.里..
用,ywvongs,4/~.用..
道,dhwaos,4\/.道..
行,xyyingz,2//.行..
所,swwuov,3//.所..
然,rwvanz,2/~.然..肰
家,jhhia,1\\.家.浃.
种,zwohongv,3/-.种..種
事,seihis,4-|.事世士势誓逝拭柿.螫贳.
成,ceyhengz,2-/.成盛..郕碀
方,fhoang,1\-.方.邡.
多,dwvuo,1/~.多..
经,jrring,1~~.经..經
么,myrex,5/~.么..
去,qouus,4-|.去趣..
法,fhhav,3\\.法..
学,xhhuez,2\\.学穴.泶.鸴
如,rvwuz,2~/.如..鴽
都,douou,1-|.都.蔸.
同,tuvongz,2|~.同瞳..蚒眮
现,xeeians,4--.现..
当,duhang,1|\.当..
没,mhheiz,2\\.没.湄.
动,dooongs,4--.动..
面,meyians,4-/.面..靣
起,qeiiv,3-|.起.杞芑.
看,kwoans,4/-.看..
定,dhhings,4\\.定..
天,teeian,1--.天..
分,fyhen,1/\.分..鈖
还,howaiz,2-/.还..
进,jeeins,4--.进..
好,hvwaov,3~/.好..
小,xiyiaov,3|/.小..
部,bhous,4\-.部.瓿.
其,qeiiz,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
些,xieie,1|-.些..
主,zhohuv,3\-.主.麈.詝
样,youangs,4-|.样..
理,leeiv,3--.理..
心,xhrin,1\~.心..
她,tvwa,1~/.她..
本,beienv,3-|.本苯..翉
前,qhyianz,2\/.前..
开,kooai,1--.开..
但,dwuans,4/|.但..蜑
因,yirin,1|~.因.喑.闉
只,zirhiv,3|~.只趾..
从,cwhongz,2/\.从丛..
想,xeiiangv,3-|.想..
实,shhhiz,2\\.实..
日,riris,4|~.日..
军,jhvun,1\~.军.皲.軍袀
者,zeihev,3-|.者.赭.
意,yheis,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
无,woouz,2--.无..
力,lryis,4~/.力..
它,thha,1\\.它.溻.
与,yovuv,3-~.与..
长,cwohangz,2/-.长..
把,bouav,3-|.把靶..
机,jeii,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
十,seihiz,2-|.十拾.莳埘.辻
民,mreinz,2~-.民..
第,dyeis,4/-.第..
公,gwhong,1/\.公..
此,cieiv,3|-.此..
已,yreiv,3~-.已乙..
工,gouong,1-|.工功攻恭..
使,syihiv,3/|.使..
情,qhhingz,2\\.情..
明,miringz,2|~.明鸣螟.瞑暝.鳴眳眀
性,xhhings,4\\.性兴.悻.
知,zyehi,1/-.知..鼅
全,qwhuanz,2/\.全..銓
三,sooan,1--.三..
又,yvhous,4~\.又..
关,ghwuan,1\/.关..
点,dieianv,3|-.点..
正,zeihengs,4-|.正政挣..
业,yiies,4||.业.邺.
外,wwvais,4/~.外..
将,jheiang,1\-.将浆..螀
两,leiiangv,3-|.两..
高,ghoao,1\-.高膏..
间,jhiian,1\|.间..
由,yuvouz,2|~.由邮.蝣蚰.蚘
问,whiens,4\|.问..
很,hyyenv,3//.很..
最,zuvuis,4|~.最罪..
重,zwohongs,4/-.重..
并,bhyings,4\/.并..
物,wwous,4/-.物..
手,swohouv,3/-.手..
应,yheing,1\-.应鹰.膺.韺鷹
战,zuohans,4|-.战..
向,xyiiangs,4/|.向像..
头,thhouz,2\\.头..
文,wheenz,2\-.文..螡
体,tyiiv,3/|.体..
政,zeihengs,4-|.正政挣..
美,mhyeiv,3\/.美..羙
相,xeiiang,1-|.相.芗葙.蘘
见,jirians,4|~.见践贱.踺.見踐瞷
被,bhreis,4\~.被.褙.
利,lyeis,4/-.利.笠篥.
什,syihenz,2/|.什..
二,eeers,4--.二贰..貮
等,dyeengv,3/-.等..
产,chohanv,3\-.产..諂
或,houuos,4-|.或获惑.藿.
新,xhein,1\-.新辛.歆.
己,jreiv,3~-.己..
制,zyehis,4/-.制智秩稚.雉.製铚秲锧稙鴙
身,syihen,1/|.身伸..
果,guvuov,3|~.果.蜾.
加,jryia,1~/.加.迦袈.
