的,daiehh,5/|.的..
一,yeei,1-.一..
是,shioiih,4|~.是嗜噬..眎
不,beauuh,4-/.不布..
了,loiehh,5~|.了..
在,zeaaaih,4-/.在..
人,rauehn,2/\.人..
有,yeaoou,3-/.有友..
我,waeoo,3/-.我..
他,taia,1/|.他..
这,zhueeeh,4\-.这.鹧.這
个,gaueeh,4/\.个..
们,maiehhn,5/|.们..
中,zhioong,1|~.中忠盅..蹱
来,leuaih,2-\.来..
上,shieaahng,4|-.上..
大,deaaah,4-/.大..
为,wuaeeih,4\/.为..
和,haeeh,2/-.和禾..盉
国,giouoh,2|~.国.帼.
地,deiiih,4-|.地蒂.棣.菂
到,deoaaoh,4-~.到..
以,youii,3~\.以矣..
说,shuouo,1\~.说..
时,shioih,2|~.时..遈
要,yeiaaoh,4-|.要药..藥靿葯
就,jueiuuh,4\-.就疚.鹫.鷲
出,choiu,1~|.出..
会,hauuiih,4/\.会..銊鐬鏸
可,keiee,3-|.可坷..
也,yoiee,3~|.也..
你,naiii,3/|.你..
对,douuiih,4~\.对.怼.
生,shaeeng,1/-.生升牲甥.笙.
能,nouehng,2~\.能..
而,eaehr,2-/.而.鸸.
子,zoiii,3~|.子..
那,noeaah,4~-.那..
得,daaehh,5//.得..
于,yeeuh,2--.于盂.瑜.邘
着,zhuaehh,5\/.着..
下,xeiiaah,4-|.下..
自,zaiiih,4/|.自..
之,zhuoi,1\~.之.祗.衼禔禵
年,naeiahn,2/-.年.黏.
过,geiuooh,4-|.过..
发,foaa,1~/.发..
后,haaoouh,4//.后.後逅.郈
作,zaiuooh,4/|.作做..
里,lioii,3|~.里..
用,yaooohng,4/~.用..
道,duaaaoh,4\/.道..
行,xaaihng,2//.行..
所,saauoo,3//.所..
然,raoahn,2/~.然..肰
家,juuia,1\\.家.浃.
种,zhaeoong,3/-.种..種
事,sheiiih,4-|.事世士势誓逝拭柿.螫贳.
成,cheaehng,2-/.成盛..郕碀
方,fueang,1\-.方.邡.
多,daouo,1/~.多..
经,jooing,1~~.经..經
么,maoehh,5/~.么..
去,qeiuuh,4-|.去趣..
法,fuuaa,3\\.法..
学,xuuueh,2\\.学穴.泶.鸴
如,roauh,2~/.如..鴽
都,deiou,1-|.都.蔸.
同,tioohng,2|~.同瞳..蚒眮
现,xeeiaahn,4--.现..
当,diuang,1|\.当..
没,muueih,2\\.没.湄.
动,deeoohng,4--.动..
面,meaiaahn,4-/.面..靣
起,qeiii,3-|.起.杞芑.
看,kaeaahn,4/-.看..
定,duuiihng,4\\.定..
天,teeian,1--.天..
分,fauen,1/\.分..鈖
还,heaaih,2-/.还..
进,jeeiihn,4--.进..
好,hoaaao,3~/.好..
小,xiaiaao,3|/.小..
部,bueuuh,4\-.部.瓿.
其,qeiih,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
些,xieie,1|-.些..
主,zhueuu,3\-.主.麈.詝
样,yeiaahng,4-|.样..
理,leeii,3--.理..
心,xuoin,1\~.心..
她,toaa,1~/.她..
本,beieen,3-|.本苯..翉
前,quaiahn,2\/.前..
开,keeai,1--.开..
但,daiaahn,4/|.但..蜑
因,yioin,1|~.因.喑.闉
只,zhioii,3|~.只趾..
从,cauohng,2/\.从丛..
想,xeiiaang,3-|.想..
实,shuuih,2\\.实..
日,rioiih,4|~.日..
军,juoun,1\~.军.皲.軍袀
者,zheiee,3-|.者.赭.
意,yueiih,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
无,weeuh,2--.无..
力,loaiih,4~/.力..
它,tuua,1\\.它.溻.
与,yeouu,3-~.与..
长,chaeahng,2/-.长..
把,beiaa,3-|.把靶..
机,jeii,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
十,sheiih,2-|.十拾.莳埘.辻
民,moeihn,2~-.民..
第,daeiih,4/-.第..
公,gauong,1/\.公..
此,cieii,3|-.此..
已,yoeii,3~-.已..
工,geiong,1-|.工功攻恭..
使,shaiii,3/|.使..
情,quuihng,2\\.情..
明,mioihng,2|~.明鸣螟.瞑暝.鳴眳眀
性,xuuiihng,4\\.性兴.悻.
知,zhaei,1/-.知..鼅
全,qauuahn,2/\.全..銓
三,seean,1--.三..
又,youoouh,4~\.又..
关,guauan,1\/.关..
点,dieiaan,3|-.点..
正,zheieehng,4-|.正政挣..
业,yiieeh,4||.业.邺.
外,waoaaih,4/~.外..
将,jueiang,1\-.将浆..螀
两,leiiaang,3-|.两..
高,gueao,1\-.高膏..
间,juiian,1\|.间..
由,yioouh,2|~.由邮.蝣蚰.蚘
问,wuieehn,4\|.问..
很,haaeen,3//.很..
最,ziouiih,4|~.最罪..
重,zhaeoohng,4/-.重..
并,buaiihng,4\/.并..
物,waeuuh,4/-.物..
手,shaeoou,3/-.手..
应,yueing,1\-.应鹰.膺.韺鷹
战,zhieaahn,4|-.战..
向,xaiiaahng,4/|.向像..
头,tuuouh,2\\.头..
文,wueehn,2\-.文..螡
体,taiii,3/|.体..
政,zheieehng,4-|.正政挣..
美,muaeei,3\/.美..羙
相,xeiiang,1-|.相.芗葙.蘘
见,jioiaahn,4|~.见践贱.踺.見踐瞷
被,buoeeih,4\~.被.褙.
利,laeiih,4/-.利.笠篥.
什,shaiehn,2/|.什..
二,eeeehr,4--.二贰..貮
等,daeeeng,3/-.等..
产,chueaan,3\-.产..諂
或,heiuooh,4-|.或获惑.藿.
新,xuein,1\-.新辛.歆.
己,joeii,3~-.己..
制,zhaeiih,4/-.制智秩稚.雉.製铚秲锧稙鴙
身,shaien,1/|.身伸..
果,giouoo,3|~.果.蜾.
加,joaia,1~/.加.迦袈.
