的,daihe,5/|.的..
一,yewi,1-.一..
是,shioyi,4|~.是嗜噬..眎
不,beayu,4-/.不布..
了,loihe,5~|.了..
在,zeayai,4-/.在..
人,rauren,2/\.人..
有,yeavou,3-/.有友..
我,waevo,3/-.我..
他,taiwa,1/|.他..
这,zhueye,4\-.这.鹧.這
个,gauye,4/\.个..
们,maihen,5/|.们..
中,zhiowong,1|~.中忠盅..蹱
来,leurai,2-\.来..
上,shieyang,4|-.上..
大,deaya,4-/.大..
为,wuayei,4\/.为..
和,haere,2/-.和禾..盉
国,gioruo,2|~.国.帼.
地,deiyi,4-|.地蒂.棣.菂
到,deoyao,4-~.到..
以,youvi,3~\.以矣..
说,shuowuo,1\~.说..
时,shiori,2|~.时..遈
要,yeiyao,4-|.要药..藥靿葯
就,jueyiu,4\-.就疚.鹫.鷲
出,choiwu,1~|.出..
会,hauyui,4/\.会..銊鐬鏸
可,keive,3-|.可坷..
也,yoive,3~|.也..
你,naivi,3/|.你..
对,douyui,4~\.对.怼.
生,shaeweng,1/-.生升牲甥.笙.
能,noureng,2~\.能..
而,earer,2-/.而.鸸.
子,zoivi,3~|.子..
那,noeya,4~-.那..
得,dahe,5//.得..
于,yeru,2--.于盂.瑜.邘
着,zhuahe,5\/.着..
下,xeiyia,4-|.下..
自,zaiyi,4/|.自..
之,zhuowi,1\~.之.祗.衼禔禵
年,naerian,2/-.年.黏.
过,geiyuo,4-|.过..
发,foawa,1~/.发..
后,hayou,4//.后.後逅.郈
作,zaiyuo,4/|.作做..
里,liovi,3|~.里..
用,yaoyong,4/~.用..
道,duayao,4\/.道..
行,xaring,2//.行..
所,savuo,3//.所..
然,raoran,2/~.然..肰
家,juwia,1\\.家.浃.
种,zhaevong,3/-.种..種
事,sheiyi,4-|.事世士势誓逝拭柿.螫贳.
成,cheareng,2-/.成盛..郕碀
方,fuewang,1\-.方.邡.
多,daowuo,1/~.多..
经,jowing,1~~.经..經
么,maohe,5/~.么..
去,qeiyu,4-|.去趣..
法,fuva,3\\.法..
学,xurue,2\\.学穴.泶.鸴
如,roaru,2~/.如..鴽
都,deiwou,1-|.都.蔸.
同,tiorong,2|~.同瞳..蚒眮
现,xeyian,4--.现..
当,diuwang,1|\.当..
没,murei,2\\.没.湄.
动,deyong,4--.动..
面,meayian,4-/.面..靣
起,qeivi,3-|.起.杞芑.
看,kaeyan,4/-.看..
定,duying,4\\.定..
天,tewian,1--.天..
分,fauwen,1/\.分..鈖
还,hearai,2-/.还..
进,jeyin,4--.进..
好,hoavao,3~/.好..
小,xiaviao,3|/.小..
部,bueyu,4\-.部.瓿.
其,qeiri,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
些,xiewie,1|-.些..
主,zhuevu,3\-.主.麈.詝
样,yeiyang,4-|.样..
理,levi,3--.理..
心,xuowin,1\~.心..
她,toawa,1~/.她..
本,beiven,3-|.本苯..翉
前,quarian,2\/.前..
开,kewai,1--.开..
但,daiyan,4/|.但..蜑
因,yiowin,1|~.因.喑.闉
只,zhiovi,3|~.只趾..
从,caurong,2/\.从丛..
想,xeiviang,3-|.想..
实,shuri,2\\.实..
日,rioyi,4|~.日..
军,juowun,1\~.军.皲.軍袀
者,zheive,3-|.者.赭.
意,yueyi,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
无,weru,2--.无..
力,loayi,4~/.力..
它,tuwa,1\\.它.溻.
与,yeovu,3-~.与..
长,chaerang,2/-.长..
把,beiva,3-|.把靶..
机,jeiwi,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
十,sheiri,2-|.十拾.莳埘.辻
民,moerin,2~-.民..
第,daeyi,4/-.第..
公,gauwong,1/\.公..
此,cievi,3|-.此..
已,yoevi,3~-.已..
工,geiwong,1-|.工功攻恭..
使,shaivi,3/|.使..
情,quring,2\\.情..
明,mioring,2|~.明鸣螟.瞑暝.鳴眳眀
性,xuying,4\\.性兴.悻.
知,zhaewi,1/-.知..鼅
全,qauruan,2/\.全..銓
三,sewan,1--.三..
又,youyou,4~\.又..
关,guawuan,1\/.关..
点,dievian,3|-.点..
正,zheiyeng,4-|.正政挣..
业,yiye,4||.业.邺.
外,waoyai,4/~.外..
将,juewiang,1\-.将浆..螀
两,leiviang,3-|.两..
高,guewao,1\-.高膏..
间,juiwian,1\|.间..
由,yiorou,2|~.由邮.蝣蚰.蚘
问,wuiyen,4\|.问..
很,haven,3//.很..
最,zioyui,4|~.最罪..
重,zhaeyong,4/-.重..
并,buaying,4\/.并..
物,waeyu,4/-.物..
手,shaevou,3/-.手..
应,yuewing,1\-.应鹰.膺.韺鷹
战,zhieyan,4|-.战..
向,xaiyiang,4/|.向像..
头,turou,2\\.头..
文,wueren,2\-.文..螡
体,taivi,3/|.体..
政,zheiyeng,4-|.正政挣..
美,muavei,3\/.美..羙
相,xeiwiang,1-|.相.芗葙.蘘
见,jioyian,4|~.见践贱.踺.見踐瞷
被,buoyei,4\~.被.褙.
利,laeyi,4/-.利.笠篥.
什,shairen,2/|.什..
二,eyer,4--.二贰..貮
等,daeveng,3/-.等..
产,chuevan,3\-.产..諂
或,heiyuo,4-|.或获惑.藿.
新,xuewin,1\-.新辛.歆.
己,joevi,3~-.己..
制,zhaeyi,4/-.制智秩稚.雉.製铚秲锧稙鴙
身,shaiwen,1/|.身伸..
果,giovuo,3|~.果.蜾.
加,joawia,1~/.加.迦袈.
西,xeiwi,1-|.西析昔熙.熹皙醯樨菥.
斯,seiwi,1-|.斯撕..
月,yaoyue,4/~.月.刖.
话,huoyua,4\~.话..
